1238839293.000000,360.000000,45.000000,360.000000,0.000000,0.000000,0.000000
1238839303.000000,359.360715,45.001154,0.000221,-0.000003,0.000231,0.000097
1238839313.000000,358.722768,45.004619,0.001351,-0.000008,0.000463,0.000191
1238839323.000000,358.086124,45.010406,0.003338,-0.000016,0.000696,0.000282
1238839333.000000,357.450747,45.018524,0.006128,-0.000026,0.000929,0.000370
1238839343.000000,356.816602,45.028981,0.009668,-0.000040,0.001164,0.000456
1238839353.000000,356.183653,45.041783,0.013905,-0.000056,0.001399,0.000538
1238839363.000000,355.551865,45.056937,0.018785,-0.000074,0.001635,0.000618
1238839373.000000,354.921202,45.074449,0.024257,-0.000095,0.001871,0.000695
1238839383.000000,354.291627,45.094324,0.030266,-0.000119,0.002108,0.000769
1238839393.000000,353.663105,45.116564,0.036760,-0.000145,0.002345,0.000840
1238839403.000000,353.035599,45.141174,0.043686,-0.000174,0.002583,0.000908
1238839413.000000,352.409072,45.168155,0.050992,-0.000205,0.002820,0.000973
1238839423.000000,351.783488,45.197509,0.058625,-0.000239,0.003058,0.001035
1238839433.000000,351.158810,45.229236,0.066532,-0.000275,0.003296,0.001095
1238839443.000000,350.535001,45.263337,0.074662,-0.000314,0.003534,0.001151
1238839453.000000,349.912025,45.299810,0.082962,-0.000355,0.003771,0.001204
1238839463.000000,349.289843,45.338654,0.091380,-0.000399,0.004009,0.001254
1238839473.000000,348.668419,45.379865,0.099864,-0.000445,0.004246,0.001301
1238839483.000000,348.047715,45.423442,0.108362,-0.000494,0.004483,0.001344
1238839493.000000,347.427694,45.469379,0.116823,-0.000545,0.004719,0.001385
1238839503.000000,346.808319,45.517672,0.125195,-0.000598,0.004955,0.001423
1238839513.000000,346.189551,45.568316,0.133426,-0.000654,0.005190,0.001458
1238839523.000000,345.571352,45.621305,0.141466,-0.000712,0.005425,0.001490
1238839533.000000,344.953686,45.676630,0.149263,-0.000772,0.005659,0.001518
1238839543.000000,344.336514,45.734286,0.156766,-0.000835,0.005892,0.001544
1238839553.000000,343.719798,45.794263,0.163925,-0.000900,0.006124,0.001567
1238839563.000000,343.103501,45.856552,0.170690,-0.000967,0.006356,0.001586
1238839573.000000,342.487583,45.921144,0.177009,-0.001036,0.006586,0.001603
1238839583.000000,341.872008,45.988029,0.182833,-0.001108,0.006815,0.001617
1238839593.000000,341.256737,46.057194,0.188111,-0.001181,0.007043,0.001627
1238839603.000000,340.641731,46.128629,0.192795,-0.001257,0.007270,0.001635
1238839613.000000,340.026953,46.202321,0.196833,-0.001335,0.007495,0.001640
1238839623.000000,339.412365,46.278257,0.200178,-0.001415,0.007720,0.001642
1238839633.000000,338.797928,46.356424,0.202779,-0.001497,0.007942,0.001641
1238839643.000000,338.183603,46.436806,0.204587,-0.001580,0.008163,0.001638
1238839653.000000,337.569353,46.519390,0.205555,-0.001666,0.008383,0.001631
1238839663.000000,336.955140,46.604160,0.205632,-0.001754,0.008601,0.001622
1238839673.000000,336.340924,46.691099,0.204772,-0.001843,0.008818,0.001610
1238839683.000000,335.726668,46.780191,0.202925,-0.001935,0.009032,0.001595
1238839693.000000,335.112333,46.871419,0.200043,-0.002028,0.009245,0.001578
1238839703.000000,334.497881,46.964765,0.196080,-0.002123,0.009456,0.001558
1238839713.000000,333.883273,47.060211,0.190987,-0.002219,0.009665,0.001536
1238839723.000000,333.268472,47.157738,0.184717,-0.002318,0.009872,0.001511
1238839733.000000,332.653438,47.257326,0.177223,-0.002418,0.010078,0.001483
1238839743.000000,332.038135,47.358956,0.168458,-0.002519,0.010281,0.001453
1238839753.000000,331.422522,47.462607,0.158376,-0.002622,0.010482,0.001421
1238839763.000000,330.806562,47.568258,0.146930,-0.002727,0.010681,0.001386
1238839773.000000,330.190216,47.675889,0.134074,-0.002833,0.010877,0.001349
1238839783.000000,329.573447,47.785477,0.119762,-0.002941,0.011072,0.001309
1238839793.000000,328.956215,47.897000,0.103948,-0.003050,0.011264,0.001267
1238839803.000000,328.338482,48.010435,0.086587,-0.003161,0.011454,0.001223
1238839813.000000,327.720209,48.125760,0.067633,-0.003272,0.011642,0.001177
1238839823.000000,327.101358,48.242949,0.047040,-0.003385,0.011827,0.001129
1238839833.000000,326.481890,48.361981,0.024764,-0.003500,0.012009,0.001079
1238839843.000000,325.861766,48.482830,0.000759,-0.003615,0.012190,0.001026
1238839853.000000,325.240948,48.605471,359.974982,-0.003732,0.012368,0.000972
1238839863.000000,324.619396,48.729879,359.947388,-0.003850,0.012543,0.000916
1238839873.000000,323.997072,48.856029,359.917931,-0.003968,0.012716,0.000858
1238839883.000000,323.373937,48.983896,359.886569,-0.004088,0.012886,0.000798
1238839893.000000,322.749951,49.113451,359.853256,-0.004209,0.013054,0.000736
1238839903.000000,322.125075,49.244670,359.817949,-0.004331,0.013219,0.000672
1238839913.000000,321.499269,49.377525,359.780605,-0.004453,0.013381,0.000607
1238839923.000000,320.872494,49.511989,359.741179,-0.004577,0.013541,0.000540
1238839933.000000,320.244710,49.648034,359.699628,-0.004701,0.013698,0.000471
1238839943.000000,319.615877,49.785633,359.655908,-0.004826,0.013852,0.000401
1238839953.000000,318.985955,49.924757,359.609976,-0.004952,0.014004,0.000330
1238839963.000000,318.354904,50.065378,359.561789,-0.005078,0.014153,0.000256
1238839973.000000,317.722682,50.207466,359.511304,-0.005205,0.014299,0.000182
1238839983.000000,317.089250,50.350994,359.458477,-0.005333,0.014442,0.000106
1238839993.000000,316.454566,50.495931,359.403265,-0.005461,0.014583,0.000028
